measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,North Africa and Middle East,Both,All ages,Invasive Non-typhoidal Salmonella (iNTS),Number,1990,950.7085163725036,1487.6960820061415,523.9573988826897
Deaths,North Africa and Middle East,Both,All ages,Invasive Non-typhoidal Salmonella (iNTS),Rate,1990,0.28028637425633973,0.4386001951595886,0.15447228784481631
Deaths,North Africa and Middle East,Both,Age-standardized,Invasive Non-typhoidal Salmonella (iNTS),Rate,1990,0.27526594948375555,0.42444633642731566,0.1515375297463622
Deaths,Central Latin America,Both,All ages,Invasive Non-typhoidal Salmonella (iNTS),Number,1990,290.82440336327977,319.3058509388888,265.54107177518506
Deaths,Central Latin America,Both,All ages,Invasive Non-typhoidal Salmonella (iNTS),Rate,1990,0.17689190891834755,0.19421555016764813,0.16151349934641443
Deaths,Central Latin America,Both,Age-standardized,Invasive Non-typhoidal Salmonella (iNTS),Rate,1990,0.24564195766651337,0.26675229445235077,0.22685035437591056
Deaths,Central Asia,Both,All ages,Invasive Non-typhoidal Salmonella (iNTS),Number,1990,6.797666422982866,10.728018824594043,3.988709777971983
Deaths,Central Asia,Both,All ages,Invasive Non-typhoidal Salmonella (iNTS),Rate,1990,0.009807369655365963,0.01547790664260778,0.005754732404679886
Deaths,Central Asia,Both,Age-standardized,Invasive Non-typhoidal Salmonella (iNTS),Rate,1990,0.009295251457458598,0.014855158845133918,0.0053109601821838565
Deaths,Central Sub-Saharan Africa,Both,All ages,Invasive Non-typhoidal Salmonella (iNTS),Number,1990,6465.394754846939,10612.853268542625,3643.3219646634084
Deaths,Central Sub-Saharan Africa,Both,All ages,Invasive Non-typhoidal Salmonella (iNTS),Rate,1990,11.763240867848715,19.309192095256343,6.628717263911913
Deaths,Central Sub-Saharan Africa,Both,Age-standardized,Invasive Non-typhoidal Salmonella (iNTS),Rate,1990,10.93990464083414,17.52505996077543,6.0438976213000055
Deaths,South Asia,Both,All ages,Invasive Non-typhoidal Salmonella (iNTS),Number,1990,7140.5491544784,11537.077376624411,3805.975329928962
