measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,44635,High SDI,2,Female,10,25-29 years,959,Invasive Non-typhoidal Salmonella (iNTS),1,Number,2021,2.191378251628091,4.756299436769078,0.9138113022226028
1,Deaths,44635,High SDI,3,Both,10,25-29 years,959,Invasive Non-typhoidal Salmonella (iNTS),1,Number,2021,5.048033869968083,10.927730990797876,2.0878290554263352
1,Deaths,44635,High SDI,1,Male,10,25-29 years,959,Invasive Non-typhoidal Salmonella (iNTS),3,Rate,2021,0.007757598656789338,0.017315123002109304,0.0032513240308219334
1,Deaths,44635,High SDI,2,Female,10,25-29 years,959,Invasive Non-typhoidal Salmonella (iNTS),3,Rate,2021,0.006340948951161334,0.013762777787259272,0.0026441947272602528
1,Deaths,44635,High SDI,3,Both,10,25-29 years,959,Invasive Non-typhoidal Salmonella (iNTS),3,Rate,2021,0.007071747246628862,0.015308564390944633,0.00292482177308297
1,Deaths,44635,High SDI,1,Male,11,30-34 years,959,Invasive Non-typhoidal Salmonella (iNTS),1,Number,2021,3.193252807354795,6.207526242968856,1.6126845693587997
1,Deaths,44635,High SDI,2,Female,11,30-34 years,959,Invasive Non-typhoidal Salmonella (iNTS),1,Number,2021,2.1226762862477173,4.504375878877001,0.9294017401027668
1,Deaths,44635,High SDI,3,Both,11,30-34 years,959,Invasive Non-typhoidal Salmonella (iNTS),1,Number,2021,5.315929093602511,10.730851451088215,2.571074072020106
1,Deaths,44635,High SDI,1,Male,11,30-34 years,959,Invasive Non-typhoidal Salmonella (iNTS),3,Rate,2021,0.007948422434581551,0.015451341885373417,0.004014182084635293
1,Deaths,44635,High SDI,2,Female,11,30-34 years,959,Invasive Non-typhoidal Salmonella (iNTS),3,Rate,2021,0.005670570633377555,0.012033102619526483,0.002482827102833009
1,Deaths,44635,High SDI,3,Both,11,30-34 years,959,Invasive Non-typhoidal Salmonella (iNTS),3,Rate,2021,0.006849728673828487,0.013827013036643236,0.0033129034423817565
1,Deaths,44635,High SDI,1,Male,12,35-39 years,959,Invasive Non-typhoidal Salmonella (iNTS),1,Number,2021,3.0752706649812973,5.528995596210384,1.5316640251741918
1,Deaths,44635,High SDI,2,Female,12,35-39 years,959,Invasive Non-typhoidal Salmonella (iNTS),1,Number,2021,2.3554642075239887,4.371807756150345,1.0942892000971558
1,Deaths,44635,High SDI,3,Both,12,35-39 years,959,Invasive Non-typhoidal Salmonella (iNTS),1,Number,2021,5.430734872505285,9.768237178004343,2.6898642542401134
1,Deaths,44635,High SDI,1,Male,12,35-39 years,959,Invasive Non-typhoidal Salmonella (iNTS),3,Rate,2021,0.007550954569630832,0.013575778886092769,0.003760815463083332
1,Deaths,44635,High SDI,2,Female,12,35-39 years,959,Invasive Non-typhoidal Salmonella (iNTS),3,Rate,2021,0.0062096535886675625,0.01152529154772444,0.002884848276071398
1,Deaths,44635,High SDI,3,Both,12,35-39 years,959,Invasive Non-typhoidal Salmonella (iNTS),3,Rate,2021,0.006904131049835964,0.012418427926626084,0.003419643152083363
